Time,Label,Data
1.473962,"/arm/lift_enc",0.000000
1.493591,"/arm/lift_output",0.000000
1.493653,"/arm/lift_enc",0.000000
1.513562,"/arm/lift_output",0.000000
1.513625,"/arm/lift_enc",0.000000
1.533565,"/arm/lift_output",0.000000
1.533633,"/arm/lift_enc",0.000000
1.553682,"/arm/lift_output",0.000000
1.553848,"/arm/lift_enc",0.000000
1.573631,"/arm/lift_output",0.000000
1.573701,"/arm/lift_enc",0.000000
1.593734,"/arm/lift_output",0.000000
1.593798,"/arm/lift_enc",0.000000
1.613763,"/arm/lift_output",0.000000
1.613827,"/arm/lift_enc",0.000000
1.633714,"/arm/lift_output",0.000000
1.633778,"/arm/lift_enc",0.000000
1.653671,"/arm/lift_output",0.000000
1.653742,"/arm/lift_enc",0.000000
1.673653,"/arm/lift_output",0.000000
1.673715,"/arm/lift_enc",0.000000
1.693568,"/arm/lift_output",0.000000
1.693630,"/arm/lift_enc",0.000000
1.713699,"/arm/lift_output",0.000000
1.713761,"/arm/lift_enc",0.000000
1.733667,"/arm/lift_output",0.000000
1.733732,"/arm/lift_enc",0.000000
1.753723,"/arm/lift_output",0.000000
1.753785,"/arm/lift_enc",0.000000
1.773598,"/arm/lift_output",0.000000
1.773660,"/arm/lift_enc",0.000000
1.793570,"/arm/lift_output",0.000000
1.793632,"/arm/lift_enc",0.000000
1.813558,"/arm/lift_output",0.000000
1.813627,"/arm/lift_enc",0.000000
1.833837,"/arm/lift_output",0.000000
1.833969,"/arm/lift_enc",0.000000
1.853563,"/arm/lift_output",0.000000
1.853820,"/arm/lift_enc",0.000000
1.873557,"/arm/lift_output",0.000000
1.873618,"/arm/lift_enc",0.000000
1.893592,"/arm/lift_output",0.000000
1.893716,"/arm/lift_enc",0.000000
1.913704,"/arm/lift_output",0.000000
1.913771,"/arm/lift_enc",0.000000
1.933630,"/arm/lift_output",0.000000
1.933701,"/arm/lift_enc",0.000000
1.953809,"/arm/lift_output",0.000000
1.953872,"/arm/lift_enc",0.000000
1.973553,"/arm/lift_output",0.000000
1.973617,"/arm/lift_enc",0.000000
