Time,Label,Data
0.978229,"/swerve/setpoint",0.000000
0.978330,"/swerve/output",0.000000
0.978371,"/swerve/steer_enc",6.170217
0.998472,"/swerve/setpoint",0.000000
0.998571,"/swerve/output",0.000000
0.998610,"/swerve/steer_enc",6.168441
1.018229,"/swerve/setpoint",0.000000
1.018342,"/swerve/output",0.000000
1.018384,"/swerve/steer_enc",6.079812
1.038265,"/swerve/setpoint",0.000000
1.038365,"/swerve/output",0.000000
1.038404,"/swerve/steer_enc",6.168441
1.058253,"/swerve/setpoint",0.000000
1.058353,"/swerve/output",0.000000
1.058393,"/swerve/steer_enc",6.081562
1.078089,"/swerve/setpoint",0.000000
1.078191,"/swerve/output",0.000000
1.078230,"/swerve/steer_enc",6.170217
1.098137,"/swerve/setpoint",0.000000
1.098238,"/swerve/output",0.000000
1.098277,"/swerve/steer_enc",6.081562
1.118207,"/swerve/setpoint",0.000000
1.118309,"/swerve/output",0.000000
1.118349,"/swerve/steer_enc",6.079812
1.138178,"/swerve/setpoint",0.000000
1.138277,"/swerve/output",0.000000
1.138316,"/swerve/steer_enc",6.081562
1.158077,"/swerve/setpoint",0.000000
1.158183,"/swerve/output",0.000000
1.158226,"/swerve/steer_enc",6.079812
1.178095,"/swerve/setpoint",0.000000
1.178249,"/swerve/output",0.000000
1.178298,"/swerve/steer_enc",6.083312
1.198096,"/swerve/setpoint",0.000000
1.198201,"/swerve/output",0.000000
1.198239,"/swerve/steer_enc",6.081562
1.218249,"/swerve/setpoint",0.000000
1.218353,"/swerve/output",0.000000
1.218392,"/swerve/steer_enc",6.164893
1.238134,"/swerve/setpoint",0.000000
1.238241,"/swerve/output",0.000000
1.238281,"/swerve/steer_enc",6.163121
1.258100,"/swerve/setpoint",0.000000
1.258201,"/swerve/output",0.000000
1.258361,"/swerve/steer_enc",6.085064
1.278119,"/swerve/setpoint",0.000000
1.278220,"/swerve/output",0.000000
1.278260,"/swerve/steer_enc",6.081562
1.298131,"/swerve/setpoint",0.000000
1.298232,"/swerve/output",0.000000
1.298270,"/swerve/steer_enc",6.166667
1.318183,"/swerve/setpoint",0.000000
1.318285,"/swerve/output",0.000000
1.318323,"/swerve/steer_enc",6.081562
1.338288,"/swerve/setpoint",0.000000
1.338388,"/swerve/output",0.000000
1.338427,"/swerve/steer_enc",6.083312
1.358140,"/swerve/setpoint",0.000000
